category,urgency,ticket_text
Software,High,"Our real-time monitoring dashboard is completely blank, we have no visibility into system health right now."
Software,High,The software update last night broke our ability to process refunds for any customer.
Software,High,Our entire order processing system crashed and we can't fulfill any pending customer orders.
Software,High,A critical security patch failed to apply and now our whole platform is vulnerable and offline.
Software,High,The subscription billing engine is charging customers incorrect amounts across the board right now.
Software,High,"Our core API is returning errors for every request, all integrations with partners are down."
Software,High,"The scheduling system for the entire clinic crashed, no appointments can be booked or checked in today."
Software,High,"Our data warehouse ETL job failed catastrophically overnight, all of today's reports are wrong or missing."
Software,High,The mobile app is crashing on launch for all users after last night's forced update.
Software,High,"Our entire logistics tracking system is down, we have no visibility into any shipments right now."
Software,High,A bug in the latest deploy is silently dropping form submissions across our entire website.
Software,High,"The company-wide single sign-on software failed, nobody can access any internal tool right now."
Hardware,Low,"My mouse feels a little less responsive than usual, might just need new batteries."
Hardware,Low,"One of the keys on my keyboard sticks slightly, still usable though."
Hardware,Low,"My laptop fan is a bit louder than normal, not overheating though."
Hardware,Low,"The webcam image looks slightly blurry, not blocking any meetings."
Hardware,Low,My monitor stand wobbles a little when I bump the desk.
Hardware,Low,"The charging cable for my laptop is a bit frayed near the connector, might need a replacement eventually."
Hardware,Low,My headset volume seems a touch lower than before.
Hardware,Low,"One of my monitor's corners has slight discoloration, doesn't affect the display otherwise."
Hardware,Low,The trackpad on my laptop is a little less smooth than it used to be.
Hardware,Low,My desk phone's ringer volume seems quieter than usual.
Hardware,Low,"The laptop stand I was given is a bit small for my monitor, just a minor inconvenience."
Hardware,Low,My external hard drive makes a faint clicking noise occasionally but still works fine.
Hardware,Low,The USB port on the left side of my laptop feels a little loose.
Hardware,Low,My keyboard backlight flickers briefly sometimes when I first turn on my laptop.
Hardware,Low,The battery on my wireless mouse seems to drain a bit faster than before.
Hardware,Low,My docking station's USB-C cable is a little bent but still charges fine.
Hardware,Low,One of my monitor's brightness settings resets occasionally after a restart.
Hardware,Low,My laptop takes a few extra seconds to wake up from sleep mode.
Hardware,Low,The number pad on my keyboard has slightly less tactile feedback than the rest of the keys.
Hardware,Low,"My headset's microphone picks up a faint hum sometimes, not affecting call quality much."
Hardware,Low,"My desk lamp's USB charging port is a bit loose, unrelated to my computer but figured I'd mention it."
Hardware,Low,The label on my laptop's asset tag is peeling off a little.
Hardware,Low,"My monitor's stand height adjustment is a bit stiff, still functional."
Hardware,Low,The spare keyboard in the conference room has a slightly worn spacebar.
Hardware,Low,"My laptop's speaker sounds a touch tinny at high volume, not blocking calls."
Hardware,Low,One of the USB ports on my dock feels a little snug when plugging in devices.
Hardware,Low,"My mouse pad is worn at the edges, not really an IT issue but wanted to flag it."
Hardware,Low,The power button on my monitor is a little stiff to press.
Hardware,Low,"My headset ear cushion is starting to wear down, still comfortable enough for now."
Hardware,Low,The HDMI cable at my desk is a little loose and needs a slight wiggle to display properly.
Hardware,Medium,"My laptop battery drains from full to empty in about two hours now, need a replacement soon."
Hardware,Medium,"The docking station at my desk stopped charging my laptop reliably, has to be unplugged and replugged."
Hardware,Medium,"My monitor flickers every few minutes, making it hard to focus on my screen."
Hardware,Medium,"The office printer keeps jamming every third page, I've had to redo several print jobs."
Hardware,Medium,My keyboard's spacebar is sticking badly enough that it's slowing down my typing significantly.
Hardware,Medium,My laptop overheats and shuts down after about an hour of video calls.
Hardware,Medium,"The headset mic keeps cutting out mid-call, I've had to repeat myself several times to clients."
Hardware,Medium,"My mouse disconnects randomly throughout the day, disrupting my workflow."
Hardware,Medium,The second monitor on my desk has a flickering black bar across the top half the time.
Hardware,Medium,"My laptop's trackpad has stopped responding intermittently, I have to plug in a mouse as a workaround."
Hardware,Medium,The conference room's display keeps losing signal from the room's laptop connection.
Hardware,Medium,My work phone's battery no longer holds a charge through a full workday.
Hardware,Medium,"The scanner in our department jams on almost every batch, slowing down our filing process."
Hardware,Medium,My laptop screen has a growing dead pixel area that's starting to obscure part of my work.
Hardware,Medium,"The USB-C hub I was issued only charges intermittently, my laptop keeps dropping to low battery."
Hardware,Medium,Our team's shared label printer keeps printing blank pages every few labels.
Hardware,Medium,"My laptop makes a loud whirring noise under any moderate workload, worried it's overheating."
Hardware,Medium,The wireless keyboard in the training room keeps disconnecting mid-presentation.
Hardware,Medium,"My external monitor only works when the cable is at a very specific angle, quite frustrating."
Hardware,Medium,The badge reader at our department entrance is only reading badges about half the time now.
Hardware,Medium,"My replacement laptop's fan runs loudly under even light workloads, concerned about long-term wear."
Hardware,Medium,"The barcode scanner in receiving misreads about a third of labels, slowing down intake."
Hardware,Medium,My laptop randomly disconnects from external monitors a few times a day.
Hardware,Medium,The break room's shared printer only prints in grayscale now regardless of settings.
Hardware,Medium,"My desk phone drops calls after about 10 minutes, happened three times today."
Hardware,Medium,The touchscreen kiosk in the lobby is unresponsive in the upper right quadrant.
Hardware,Medium,"My laptop's charging port seems loose, the charge indicator flickers unless the cable is held just right."
Hardware,Medium,The receipt printer at the register jams roughly once every hour during busy periods.
Hardware,Medium,My noise-canceling headset intermittently loses the noise-canceling feature mid-call.
Hardware,Medium,The shared label maker in our department stopped feeding labels correctly halfway through most jobs.
Hardware,High,"My laptop won't turn on at all this morning, I have a client presentation in an hour."
Hardware,High,The main office printer is completely dead and payroll needs those documents printed today.
Hardware,High,"My laptop screen went completely black and won't respond to anything, I can't access any of my files."
Hardware,High,The server room's cooling unit failed overnight and the equipment is overheating badly.
Hardware,High,"My work laptop was damaged during shipping and won't power on, I have no way to work today."
Hardware,High,"The point-of-sale hardware at the front desk is completely down, we can't process any customer transactions."
Hardware,High,"My laptop battery swelled up and it's physically unsafe to keep using, need an urgent replacement."
Hardware,High,"The entire team's shared workstation crashed and won't restart, blocking all of us from our morning tasks."
Hardware,High,Our backup server hardware failed and we may be at risk of losing recent data.
Hardware,High,"The badge access system for the whole building is down, employees can't get into the office."
Hardware,High,My laptop is completely unresponsive and I have a major deadline due in the next hour.
Hardware,High,"The warehouse scanning equipment is entirely offline, we can't process any incoming shipments today."
Hardware,High,"Every device on this floor lost power when a breaker tripped, nobody can charge their laptops."
Hardware,High,"My computer just displayed a hardware failure warning and shut down, I haven't saved my work in a while."
Hardware,High,"The security camera system hardware is down building-wide, this needs immediate attention for safety reasons."
Hardware,High,"Our main file server's hard drive is making a clicking noise and won't mount, we think it's failing."
Hardware,High,"The phone system hardware for the entire call center is down, we can't take any customer calls."
Hardware,High,"My laptop got liquid spilled on it and shut off immediately, I need an emergency replacement device."
Hardware,High,The conference room AV system completely failed right before our board presentation started.
Hardware,High,Our building's network hardware room reported a fire alarm and all servers had to be shut down.
Hardware,High,Our data center's primary storage array just failed and we're at risk of losing active client data.
Hardware,High,The building's main server rack lost power and every hosted internal service is now down.
Hardware,High,"My laptop caught a burning smell and shut off immediately, I stopped using it right away for safety."
Hardware,High,"The emergency generator failed to kick in during the outage, all server room equipment is at risk."
Hardware,High,Every register in the store went down at once during our busiest hour of the day.
Hardware,High,"The forklift's onboard scanner system failed, warehouse operations have come to a complete stop."
Hardware,High,"Our entire video surveillance hardware went offline overnight, we have a security gap right now."
Hardware,High,The main HVAC unit for the server room failed and temperatures are rising fast.
Hardware,High,My work laptop was stolen from my car and I need a replacement immediately to meet today's deadline.
Hardware,High,The core switch hardware for the whole building caught a fault and took every wired connection down.
Access,Low,"I'd like to request access to the marketing team's shared folder when convenient, no rush."
Access,Low,"My password expires in a couple weeks, just want to make sure I know the reset process."
Access,Low,"I noticed I don't have edit access to one older document, not urgent though."
Access,Low,Could I get added to the internal newsletter distribution list sometime this month?
Access,Low,I'd like view access to the analytics dashboard when someone gets a chance.
Access,Low,"My account shows an old job title, would like it updated whenever convenient."
Access,Low,I want to double check I have the right permissions for the new project folder.
Access,Low,"Could someone confirm my access level for the shared calendar, just want to verify."
Access,Low,"I'd like to be added to a Slack channel for my new team, not time-sensitive."
Access,Low,"My badge photo is outdated, could this be updated next time IT has availability."
Access,Low,I have access to most tools but wanted to confirm I'm included in the new one too.
Access,Low,Could you add me to the optional training portal when you have a chance?
Access,Low,"I'd like read access to last year's archived reports for reference, no rush."
Access,Low,"My email signature template needs updating, low priority whenever someone's free."
Access,Low,"I noticed I still have access to a project I've rolled off of, might want to remove it eventually."
Access,Low,Could I get access to the new vendor portal sometime this week?
Access,Low,"I'd like to request access to the print server on the 4th floor, not urgent."
Access,Low,"My two-factor phone number is outdated, want to update it before it becomes an issue."
Access,Low,Could someone add me as a viewer on the shared roadmap document?
Access,Low,I'd like a refresher on how to request access to new tools going forward.
Access,Low,Could I get access to last quarter's slide deck archive when someone has a moment?
Access,Low,"I'd like to double check my access to the optional wellness portal, not urgent."
Access,Low,"My profile picture on the directory is outdated, would like it changed eventually."
Access,Low,Could someone add me to the alumni-of-project mailing list when convenient?
Access,Low,I want to confirm I still have access to a tool I only use once a quarter.
Access,Low,"I'd like to be added as a backup approver on one workflow, no rush."
Access,Low,"My job title in the directory doesn't reflect my recent promotion, minor update needed."
Access,Low,Could I get read-only access to the design team's asset library sometime?
Access,Low,"I noticed I have access to a tool I no longer need, happy to have it removed whenever."
Access,Low,"I'd like to request a calendar view of a partner team's holidays, not time-sensitive."
Access,Medium,I've been locked out of my email account since this morning and can't get back in with password resets.
Access,Medium,"I need access to the client database restored, it was accidentally removed during a permissions update."
Access,Medium,"My MFA app isn't generating working codes, I can log into some systems but not others."
Access,Medium,I can't access the shared drive for my new project even though my manager approved it two days ago.
Access,Medium,"My account keeps getting logged out of the VPN portal, I have to reset my password every time."
Access,Medium,"I'm still waiting on access to the finance reporting tool, it's been three days and I need it for a deadline this week."
Access,Medium,My permissions to the internal wiki were revoked by mistake after a recent reorg.
Access,Medium,"I can't reset my password through the usual portal, it keeps saying my security questions don't match."
Access,Medium,I need admin rights on my laptop to install a tool required for my current project.
Access,Medium,My account is showing 'pending approval' for two tools I need to use today for a client deliverable.
Access,Medium,I keep getting an 'access denied' error on the reporting dashboard I use every week.
Access,Medium,My new hire's account still doesn't have access to half the systems she needs for training this week.
Access,Medium,I was accidentally removed from the shared team calendar and I'm missing important meeting invites.
Access,Medium,"My SSO login keeps failing for one specific internal app, though it works everywhere else."
Access,Medium,I need my access restored to a shared folder that got locked after an ownership change.
Access,Medium,My manager approved my access request four days ago but it still hasn't gone through.
Access,Medium,I can't access the client portal from my new laptop even after IT set up my profile.
Access,Medium,My account got flagged for suspicious activity and now I can't log into anything until it's cleared.
Access,Medium,I need temporary access to another department's shared drive to cover for a coworker this week.
Access,Medium,"My badge stopped working for the server room, and I need to get in for scheduled maintenance today."
Access,Medium,I still can't access the shared analytics folder despite my manager submitting the request last week.
Access,Medium,My login keeps failing on the vendor portal even after two password resets.
Access,Medium,"I need my read access upgraded to edit access for the shared proposal document, it's overdue."
Access,Medium,My account is missing from the new project's access list even though I was added to the team.
Access,Medium,"I can't get past the MFA prompt on my new phone, blocking me from several tools."
Access,Medium,My previous team's folder access wasn't removed and now I can't tell what I should actually have.
Access,Medium,I need access restored to the archived client files for an ongoing audit request.
Access,Medium,"My contractor account access expired a day early, and I still have deliverables due this week."
Access,Medium,"I can't access the shared drive from my laptop, though it works fine from the office desktop."
Access,Medium,My request for elevated access to the reporting tool has been pending approval for four days now.
Access,High,"I'm completely locked out of every system, including email, and I have a client call in 15 minutes."
Access,High,"Our whole new-hire cohort still has zero system access on their first day, they can't do any training."
Access,High,"I've been locked out of the financial system right before the reporting deadline today, need urgent help."
Access,High,My account got disabled after a security flag and I can't access anything needed to process today's payroll.
Access,High,"None of the on-call engineers can access the incident system during this active outage, this is critical."
Access,High,"I need emergency access restored to the production database, we're mid-incident and I'm the only one who can fix it."
Access,High,Our whole team lost access to the client portal an hour before a major deliverable is due.
Access,High,I'm the approver for today's payroll run and I've been locked out of the system with no way in.
Access,High,"My credentials were revoked by mistake and I can't access anything, including systems needed for an active client emergency."
Access,High,"The entire support team lost login access at the same time, no one can respond to customer tickets right now."
Access,High,"I need immediate access to the compliance system, we have a regulatory deadline today and I'm blocked."
Access,High,Our CFO is locked out of the banking portal right before an urgent wire transfer needs to be approved.
Access,High,I can't access any system needed to respond to a security incident that's happening right now.
Access,High,My admin access was removed and now nobody on the team can approve time-sensitive contracts today.
Access,High,The whole legal team got locked out of the document system an hour before a court filing deadline.
Access,High,"I need urgent access reinstated, our biggest client's account renewal is due today and I can't process it."
Access,High,Our night shift lost access to the monitoring system and there's no visibility into a live production issue.
Access,High,"I'm unable to log into anything after this morning's account migration, and I have payroll to run before noon."
Access,High,"The on-call security engineer is locked out during an active breach investigation, need this fixed now."
Access,High,My access to the emergency response system was mistakenly revoked during an ongoing incident.
Access,High,I'm locked out of the incident response system in the middle of an active production outage.
Access,High,Our entire finance team was accidentally deprovisioned this morning right before month-end close.
Access,High,I can't access the system needed to stop a fraudulent transaction that's happening right now.
Access,High,"The whole night shift got locked out of the building access system, nobody can get to their stations."
Access,High,My access to the client's system was revoked mid-project and their deadline is in an hour.
Access,High,"I need emergency access to pull audit logs, we suspect a security incident is actively happening."
Access,High,Our whole onboarding class starts in 30 minutes and none of them can log into any required system.
Access,High,I'm blocked from approving today's critical vendor payment and the cutoff is in 20 minutes.
Access,High,"The lead engineer got locked out during a live production rollback, we need access restored immediately."
Access,High,My badge and system access were both disabled by mistake during an active client escalation.
